Network,NTPminusSYS,SNTPminusSYS,Delay,RuntimeNTPOrder,PPStoUART,Sats
WiFi,1.153,-7.881,19.239,NTPfirst,132257.0,6
WiFi,-1.003,-8.162,19.088,NTPfirst,156261.0,7
WiFi,-21.067,-215.205,146.397,NTPfirst,187319.0,9
WiFi,-1.387,-16.921,30.941,NTPfirst,180094.0,8
WiFi,0.607,-7.146,14.997,NTPfirst,169766.0,7
WiFi,-0.764,-8.752,16.997,NTPfirst,189662.0,9
WiFi,1.948,-4.272,12.448,NTPfirst,187709.0,9
WiFi,-0.032,-7.15,14.977,NTPfirst,175877.0,8
WiFi,3.338,-6.592,19.509,NTPfirst,168992.0,8
WiFi,0.61,-4.458,9.932,NTPfirst,180423.0,9
WiFi,0.649,-6.539,14.448,NTPfirst,196005.0,10
WiFi,-1.886,-7.51,10.608,NTPfirst,155796.0,7
WiFi,0.589,-4.153,12.575,NTPfirst,198837.0,11
WiFi,-2.358,-8.479,16.011,NTPfirst,185624.0,9
WiFi,-1.491,-5.228,21.694,NTPfirst,201360.0,11
WiFi,-0.195,-7.148,15.334,NTPfirst,155674.0,9
WiFi,0.494,-6.737,14.187,NTPfirst,155865.0,9
WiFi,0.422,-5.983,10.442,NTPfirst,155573.0,8
WiFi,-0.867,-19.282,31.39,NTPfirst,163420.0,9
WiFi,0.482,-15.069,31.1,NTPfirst,134325.0,7
WiFi,1.644,-16.428,33.195,NTPfirst,132456.0,7
WiFi,1.045,-6.613,14.71,NTPfirst,126804.0,6
WiFi,-0.835,-6.601,17.389,NTPfirst,127617.0,6
WiFi,3.592,-4.905,16.923,NTPfirst,68119.0,5
WiFi,0.252,-7.216,16.506,NTPfirst,134908.0,6
WiFi,-0.166,-7.046,15.153,NTPfirst,71810.0,5
WiFi,-2.311,-5.441,18.656,NTPfirst,136380.0,6
WiFi,-0.781,-18.284,34.31,NTPfirst,136466.0,6
WiFi,-0.459,-6.689,16.182,NTPfirst,127376.0,6
