networkClass,connectivity,timeDifferenceTo1PPSms
Broadband,WiFi,3.517
Broadband,WiFi,2.588
Broadband,WiFi,2.921
Broadband,WiFi,4.76
Broadband,WiFi,0.572
Broadband,WiFi,3.69
Broadband,WiFi,3.874
Broadband,WiFi,1.966
Broadband,WiFi,1.013
Broadband,WiFi,4.211
Broadband,WiFi,5.813
Broadband,WiFi,3.228
Broadband,WiFi,2.994
Broadband,WiFi,3.377
Broadband,WiFi,7.196
Broadband,WiFi,3.904
Broadband,WiFi,3.693
Broadband,WiFi,3.215
Broadband,WiFi,3.085
Broadband,WiFi,3.141
Broadband,WiFi,2.497
Broadband,WiFi,3.22
Broadband,WiFi,5.684
Broadband,WiFi,7.503
Broadband,WiFi,3.958
Broadband,WiFi,2.745
Broadband,WiFi,4.101
Broadband,WiFi,4.451
Broadband,WiFi,5.084
Broadband,WiFi,4.736
Broadband,WiFi,3.409
Broadband,WiFi,3.764
Broadband,WiFi,3.64
Broadband,WiFi,6.043
Broadband,WiFi,4.375
Broadband,WiFi,4.729
Broadband,WiFi,3.742
Broadband,WiFi,3.853
Broadband,WiFi,1.936
Broadband,WiFi,1.929
Broadband,WiFi,3.214
Broadband,WiFi,3.905
Broadband,WiFi,3.687
Broadband,WiFi,5.429
Broadband,WiFi,2.844
Broadband,WiFi,4.754
Broadband,WiFi,4.178
Broadband,WiFi,3.051
Broadband,WiFi,2.969
Broadband,WiFi,3.516
Broadband,WiFi,6.869
Broadband,WiFi,2.57
Broadband,WiFi,0.313
Broadband,WiFi,3.853
Broadband,WiFi,5.545
Broadband,WiFi,4.06
Broadband,WiFi,3.46
Broadband,WiFi,-94.41
Broadband,WiFi,3.827
Broadband,WiFi,-1.111
Broadband,WiFi,3.594
Broadband,WiFi,4.531
Broadband,WiFi,4.327
Broadband,WiFi,-0.183
Broadband,WiFi,3.519
Broadband,WiFi,4.507
Broadband,WiFi,4.39
Broadband,WiFi,3.268
Broadband,WiFi,1.346
Broadband,WiFi,3.624
Broadband,WiFi,-1.46
Broadband,WiFi,3.027
Broadband,WiFi,1.594
Broadband,WiFi,3.131
Broadband,WiFi,1.262
Broadband,WiFi,5.515
Broadband,WiFi,1.275
Broadband,WiFi,2.666
Broadband,WiFi,34.386
Broadband,WiFi,2.706
Broadband,WiFi,2.087
Broadband,WiFi,-21.362
Broadband,WiFi,4.442
Broadband,WiFi,-1.075
Broadband,WiFi,-1.614
Broadband,WiFi,0.507
Broadband,WiFi,0.914
Broadband,WiFi,-0.097
Broadband,WiFi,0.006
Broadband,WiFi,0.068
Broadband,WiFi,-0.12
Broadband,WiFi,-1.363
Broadband,WiFi,-2.239
Broadband,WiFi,-0.45
Broadband,WiFi,-0.224
Broadband,WiFi,-0.121
Broadband,WiFi,-0.243
Broadband,WiFi,1.112
Broadband,WiFi,-16.545
Broadband,WiFi,1.971
Broadband,WiFi,1.899
Broadband,WiFi,-0.107
Broadband,WiFi,0.766
Broadband,WiFi,0.615
Broadband,WiFi,1.588
Broadband,WiFi,1.942
Broadband,WiFi,3.796
Broadband,WiFi,5.388
Broadband,WiFi,0.032
Broadband,WiFi,0.41
Broadband,WiFi,1.078
Broadband,WiFi,1.244
Broadband,WiFi,2.027
Broadband,WiFi,1.48
Broadband,WiFi,2.707
Broadband,WiFi,0.653
Broadband,WiFi,-1.312
Broadband,WiFi,-24.008
Broadband,WiFi,0.252
Broadband,WiFi,-0.886
Broadband,WiFi,-0.589
Broadband,WiFi,-3.615
Broadband,WiFi,2.545
Broadband,WiFi,0.414
Broadband,WiFi,0.494
Broadband,WiFi,0.427
Broadband,WiFi,-2.548
Broadband,WiFi,-2.536
Broadband,WiFi,7.406
Broadband,WiFi,2.49
Broadband,WiFi,1.859
Broadband,WiFi,-0.332
Broadband,WiFi,1.216
Broadband,WiFi,0.597
Broadband,WiFi,0.545
Broadband,WiFi,-2.836
Broadband,WiFi,-1.959
Broadband,WiFi,2.518
Broadband,WiFi,
Broadband,WiFi,-0.319
Broadband,WiFi,0.367
Broadband,WiFi,0.763
Broadband,WiFi,-2.394
Broadband,WiFi,16.59
Broadband,WiFi,0.438
Broadband,WiFi,1.731
Broadband,WiFi,
Broadband,WiFi,-1.691
Broadband,WiFi,2.082
Broadband,WiFi,2.586
Broadband,WiFi,0.61
Broadband,WiFi,0.217
Broadband,WiFi,0.743
Broadband,WiFi,1.031
Broadband,WiFi,1.969
Broadband,WiFi,1.365
Broadband,WiFi,-1.486
Broadband,WiFi,-2.508
Broadband,WiFi,11.07
Broadband,WiFi,-52.57
Broadband,WiFi,1.512
Broadband,WiFi,0.379
Broadband,WiFi,-0.305
Broadband,WiFi,-2.487
Broadband,WiFi,2.059
Broadband,WiFi,0.171
Broadband,WiFi,-0.249
Broadband,WiFi,1.065
Broadband,WiFi,-0.519
Broadband,WiFi,1.573
Broadband,WiFi,4.177
Broadband,WiFi,0.469
Broadband,WiFi,-1.006
Broadband,WiFi,10.076
Broadband,WiFi,4.066
Broadband,WiFi,1.634
Broadband,WiFi,1.452
Broadband,WiFi,-0.224
Broadband,WiFi,3.39
Broadband,WiFi,3.619
Broadband,WiFi,0.851
Broadband,WiFi,-0.102
Broadband,WiFi,0.851
Broadband,WiFi,2.747
Broadband,WiFi,3.771
Broadband,WiFi,5.085
Broadband,WiFi,2.647
Broadband,WiFi,2.686
Broadband,WiFi,2.408
Broadband,WiFi,0.734
Broadband,WiFi,5.867
Broadband,WiFi,2.417
Broadband,WiFi,1.761
Broadband,WiFi,4.761
